Airline,Year,Number of Employees,Liquidity Ratio,Passenger Load Factor (%),Fleet Size,Frequent Flyer Program Strength,Brand Positioning,Major Campaign Budget,Major Campaign Goal,Sponsorship Categories,Customer Experience Rating,Total Followers,Engagement Rate,Posting Frequency,Tone (formal/casual/humorous),Unnamed: 28,revenue_value,revenue_currency,operating_value,operating_currency,fuel_value,fuel_currency,net_value,net_currency,ebit_value,ebit_currency,ask_value,ask_currency,rpk_value,rpk_currency,revenue_usd,operating_usd,fuel_usd,net_usd,ebit_usd
PIA,2024,6625,0.38,81.81,32,4,3,2500000.5,4,2,2,"1,416,300",<0.5%,1-2/week,2,,204164462000.0,PKR,123355000000.0,PKR,75586000000.0,PKR,26203000000.0,PKR,9357000000.0,PKR,12123165000.0,USD,9918324000.0,USD,734992063.1999999,444078000.0,272109600.0,94330800.0,33685200.0
PIA,2023,7326,0.09,83.3,31,4,2,1000000.0,1,2,2,,,,2,,237882756000.0,PKR,233988257000.0,PKR,98062000000.0,PKR,-104500598000.0,PKR,3894499000.0,PKR,13768098000.0,USD,11467767000.0,USD,832589646.0,818958899.5,343217000.0,-365752093.0,13630746.5
PIA,2022,8031,0.13,80.28,29,4,2,1000000.0,1,2,2,,,,2,,172038132000.0,PKR,183354243000.0,PKR,55754000000.0,PKR,-88008417000.0,PKR,-11316111000.0,PKR,13075390000.0,USD,10496577000.0,USD,825783033.5999999,880100366.4,267619199.99999997,-422440401.59999996,-54317332.8
PIA,2021,8558,0.14,66.89,30,4,2,1000000.0,1,2,2,,,,2,,86185394000.0,PKR,101212425000.0,PKR,13439000000.0,PKR,-50101491000.0,PKR,-15027031000.0,PKR,7681820000.0,USD,5138222000.0,USD,534349442.79999995,627517035.0,83321800.0,-310629244.2,-93167592.2
PIA,2020,10779,0.13,74.46,30,4,1,1000000.0,3,2,2,,,,2,,94989391000.0,PKR,95669705000.0,PKR,21500000000.0,PKR,-34642811000.0,PKR,-680314000.0,PKR,8902198000.0,USD,6628751000.0,USD,569936346.0,574018230.0,129000000.0,-207856866.0,-4081884.0
PIA,2019,11740,0.16,81.31,31,4,2,1000000.0,1,3,2,,,,2,,147500129000.0,PKR,153630617000.0,PKR,50000000000.0,PKR,-52601610000.0,PKR,-6130488000.0,PKR,18371578000.0,USD,14938238000.0,USD,,,,,
EMIRATES,2024,63466,35.4,79.9,260,5,5,50000010.0,4,5,5,"21,399,600",1-2%,3-4/week,4,,121221000000.0,USD,34184.0,USD,34184000000.0,USD,17233.0,USD,37563.0,USD,344720000000.0,USD,344720000000.0,USD,121221000000.0,34184.0,34184000000.0,17233.0,37563.0
EMIRATES,2023,56379,34.8,79.5,260,5,5,10000002.5,4,5,4,,,,4,,107356000000.0,USD,33664.0,USD,33664000000.0,USD,17233.0,USD,33266.0,USD,284044000000.0,USD,284044000000.0,USD,107356000000.0,33664.0,33664000000.0,17233.0,33266.0
EMIRATES,2022,45843,35.3,58.6,262,5,5,10000002.5,4,5,4,,,,4,,59180000000.0,USD,13855.0,USD,13855000000.0,USD,3917.0,USD,17728.0,USD,159962000000.0,USD,159962000000.0,USD,59180000000.0,13855.0,13855000000.0,3917.0,17728.0
EMIRATES,2021,40801,48.9,44.3,259,5,5,50000010.0,4,5,5,,,,4,,30927000000.0,USD,6398.0,USD,6398000000.0,USD,20279.0,USD,4644.0,USD,64062000000.0,USD,64062000000.0,USD,30927000000.0,6398.0,6398000000.0,20279.0,4644.0
EMIRATES,2020,60033,22.0,78.5,270,5,5,50000010.0,4,5,5,,,,4,,91972000000.0,USD,26260.0,USD,26260000000.0,USD,1056.0,USD,25852.0,USD,367153000000.0,USD,367153000000.0,USD,91972000000.0,26260.0,26260000000.0,1056.0,25852.0
EMIRATES,2019,60282,17.4,76.8,270,5,5,100000000.0,5,5,4,,,,4,,97907000000.0,USD,30768.0,USD,30768000000.0,USD,871.0,USD,25852.0,USD,390775000000.0,USD,390775000000.0,USD,97907000000.0,30768.0,30768000000.0,871.0,25852.0
TURKISH AIRLINES,2024,63455,1.08,82.2,489,5,5,50000010.0,4,5,4,"15,087,000",0.50%,1-2/week,4,,22669000000.0,USD,20862000000.0,USD,6163000000.0,USD,3425000000.0,USD,2413000000.0,USD,209000000000.0,USD,209000000000.0,USD,22669000000.0,20862000000.0,6163000000.0,3425000000.0,2413000000.0
TURKISH AIRLINES,2023,55884,0.94,86.2,429,5,5,2500000.5,3,5,4,,,,4,,20942000000.0,USD,18592000000.0,USD,6232000000.0,USD,6021000000.0,USD,2859000000.0,USD,83300000000.0,USD,83300000000.0,USD,20942000000.0,18592000000.0,6232000000.0,6021000000.0,2859000000.0
TURKISH AIRLINES,2022,40264,0.88,81.6,394,5,5,2500000.5,3,5,4,,,,4,,18426000000.0,USD,15792000000.0,USD,6467000000.0,USD,2725000000.0,USD,3193000000.0,USD,71800000000.0,USD,71800000000.0,USD,18426000000.0,15792000000.0,6467000000.0,2725000000.0,3193000000.0
TURKISH AIRLINES,2021,37394,0.73,67.9,370,5,5,10000002.5,4,5,5,,,,4,,10686000000.0,USD,9446000000.0,USD,2756000000.0,USD,959000000.0,USD,1689000000.0,USD,86700000000.0,USD,86700000000.0,USD,10686000000.0,9446000000.0,2756000000.0,959000000.0,1689000000.0
TURKISH AIRLINES,2020,37896,0.65,71.0,363,5,5,50000010.0,4,5,5,,,,4,,6734000000.0,USD,7319000000.0,USD,1638000000.0,USD,-836000000.0,USD,-163000000.0,USD,53250000000.0,USD,53250000000.0,USD,6734000000.0,7319000000.0,1638000000.0,-836000000.0,-163000000.0
TURKISH AIRLINES,2019,38849,0.8,80.1,354,5,5,10000002.5,4,5,5,,,,4,,13229000000.0,USD,12708000000.0,USD,3873000000.0,USD,788000000.0,USD,1047000000.0,USD,153200000000.0,USD,153200000000.0,USD,13229000000.0,12708000000.0,3873000000.0,788000000.0,1047000000.0
SINGAPORE AIRLINES,2024,27093,1.23,88.0,200,5,5,100000000.0,4,5,5,"7,806,000",0.50%,2-3/week,3,,19012700000.0,SGD,16285200000.0,SGD,5076600000.0,SGD,2674800000.0,SGD,2727500000.0,SGD,163467900000.0,USD,143889600000.0,USD,14069398000.0,12051048000.0,3756684000.0,1979352000.0,2018350000.0
SINGAPORE AIRLINES,2023,22819,1.41,85.4,195,5,5,50000025.0,3,5,5,,,,3,,17774800000.0,SGD,15082700000.0,SGD,5209400000.0,SGD,2157000000.0,SGD,2692100000.0,SGD,133031900000.0,USD,113628100000.0,USD,13153352000.0,11161198000.0,3854956000.0,1596180000.0,1992154000.0
SINGAPORE AIRLINES,2022,22222,2.25,30.1,183,5,5,50000040.0,4,5,5,,,,3,,7614800000.0,SGD,8224500000.0,SGD,2189300000.0,SGD,-962000000.0,SGD,-609700000.0,USD,68570300000.0,USD,20664500000.0,USD,5482656000.0,5921640000.0,1576296000.0,-692640000.0,-609700000.0
SINGAPORE AIRLINES,2021,25547,1.71,13.3,169,5,5,50000040.0,4,5,5,,,,3,,3816000000.0,SGD,6329000000.0,SGD,1016000000.0,SGD,-4271000000.0,USD,-2513000000.0,USD,21721200000.0,USD,2890600000.0,USD,2823840000.0,4683460000.0,751840000.0,-4271000000.0,-2513000000.0
SINGAPORE AIRLINES,2020,27619,0.44,82.4,213,5,5,100000000.0,4,5,5,,,,3,,15975900000.0,SGD,15916800000.0,SGD,4636500000.0,SGD,59100000.0,SGD,294200000.0,SGD,127165800000.0,USD,104134600000.0,USD,11502648000.0,11460096000.0,3338280000.0,42552000.0,211824000.0
SINGAPORE AIRLINES,2019,26534,0.74,83.0,202,5,5,100000000.0,5,5,4,,,,3,3.0,16323200000.0,SGD,15256100000.0,SGD,4587100000.0,SGD,682700000.0,SGD,1067099999.9999999,SGD,169606600000.0,USD,140838100000.0,USD,,,,,
